"DOI","Name","meta_instrument_name","n_items","usage_count","mtype","covered_synthnet","covered_hunt","covered_semnet"
"10.1037/t19699-000","stages of change readiness and treatment eagerness scale--revised diabetes version","Stages of Change Readiness and Treatment Eagerness Scale (SOCRATES)",38,0,"exact",TRUE,FALSE,FALSE
"10.1037/t23288-000","psychological inflexibility in pain scale","The Psychological Inflexibility in Pain Scale (PIPS)",12,47,"core",FALSE,FALSE,FALSE
"10.1037/t24543-000","fagerstrom test for nicotine dependence--revised","Fagerstrom Test for Nicotine Dependence (FTND)",7,15,"exact",TRUE,FALSE,FALSE
"10.1037/t24614-000","collective efficacy scale--revised","Collective Efficacy Scale",14,0,"exact",FALSE,FALSE,FALSE
"10.1037/t25065-000","perceived stress scale--revised","Perceived Stress Scale",10,0,"exact",TRUE,FALSE,FALSE
"10.1037/t25488-000","central sensitization inventory","Central Sensitization Inventory (CSI)",25,36,"exact",TRUE,FALSE,FALSE
"10.1037/t26957-000","adverse childhood experiences study questionnaire","Adverse Childhood Experiences Study Questionnaire",17,113,"exact",TRUE,FALSE,FALSE
"10.1037/t31314-000","future time perspective scale","Future Time Perspective Scale (FTPS)",8,148,"exact",TRUE,FALSE,FALSE
"10.1037/t31330-000","international physical activity questionnaire","International Physical Activity Questionnaire Long (IPAQL)",29,2074,"core",FALSE,TRUE,FALSE
"10.1037/t32746-000","medical outcomes study sleep scale","Medical Outcomes Study-Sleep Scale",12,157,"exact",FALSE,FALSE,FALSE
"10.1037/t38453-000","control, autonomy, self-realization, pleasure questionnaire-19","Control, Autonomy, Self- realization, Pleasure (CASP- 19)",19,13,"core",TRUE,FALSE,FALSE
"10.1037/t38593-000","opening minds scale for health care providers","Opening Minds for Health Care Providers (OMS-HC-15)",15,16,"core",TRUE,FALSE,FALSE
"10.1037/t39952-000","stress overload scale","Stress Overload Scale",24,16,"exact",TRUE,FALSE,FALSE
"10.1037/t41758-000","pittsburgh sleep quality index-short version","Pittsburgh Sleep Quality Index",19,1,"exact",FALSE,FALSE,TRUE
"10.1037/t45826-000","multidimensional assessment of interoceptive awareness","Multidimensional Assessment of Interoceptive Awareness (MAIA)",37,113,"exact",TRUE,FALSE,FALSE
"10.1037/t48193-000","multidimensional inventory of subjective cognitive impairment","Multidimensional Inventory of Subjective Cognitive Impairment (MISCI)",10,7,"exact",TRUE,FALSE,FALSE
"10.1037/t49653-000","cognitive and affective mindfulness scale--revised","Cognitive and Affective Mindfulness Scale – Revised (CAMS-R)",12,181,"exact",FALSE,FALSE,TRUE
"10.1037/t51188-000","stanford acute stress reaction questionnaire--modified","The Stanford Acute Stress Reaction Questionnaire",20,0,"core",FALSE,FALSE,FALSE
"10.1037/t52615-000","measure of sickle cell stigma","Measure of Sickle Cell Stigma (MoSCS)",11,3,"exact",TRUE,FALSE,FALSE
"10.1037/t53541-000","psychological well-being scale--modified","Psychological Well Being Scale",12,0,"exact",FALSE,FALSE,FALSE
"10.1037/t59866-000","rosenberg self-esteem scale--modified","Rosenberg Self-Esteem Scale (6-item) (RSE)",6,0,"exact",FALSE,FALSE,FALSE
"10.1037/t63848-000","eq-5d-5l","EQ-5D-5L (5-item)",5,486,"exact",FALSE,TRUE,FALSE
"10.1037/t65121-000","brief assessment of recovery capital-10","Brief Assessment of Recovery Capital (BARC-10)",10,4,"exact",TRUE,FALSE,FALSE
"10.1037/t65236-000","hdqlife concern with death and dying scale","HDQLIFE Concern with Death and Dying",12,0,"core",FALSE,FALSE,FALSE
"10.1037/t66797-000","health of the nation outcome scales for people with learning disabilities","Health of the Nation Outcome Scales (11-item) (HoNOS)",20,13,"exact",FALSE,FALSE,FALSE
"10.1037/t69085-000","overall anxiety severity and impairment questionnaire","Overall Anxiety Severity and Impairment Scale (OASIS)",5,239,"core",FALSE,FALSE,FALSE
"10.1037/t71687-000","12-item zarit caregiver burden interview","Zarit Caregiver Burden Scale � short form",12,3,"core",TRUE,FALSE,FALSE
"10.1037/t75388-000","pediatric quality of life enjoyment and satisfaction questionnaire","Pediatric Quality of Life Enjoyment and Satisfaction Questionnaire (PQ-LES-Q)",15,39,"exact",TRUE,FALSE,FALSE
"10.1037/t75610-000","traumatic brain injury-caregiver quality of life (careqol) caregiver vigilance","TBI-CareQOL Caregiver Vigilance",18,0,"exact",TRUE,FALSE,FALSE
"10.1037/t78044-000","meaning in life measure","Meaning in Life Scale",7,11,"core",TRUE,FALSE,FALSE
"10.1037/t78784-000","acceptance and action questionnaire--substance abuse","Acceptance and Action Questionnaire – Substance Abuse (AAQ-SA)",18,5,"exact",TRUE,FALSE,FALSE
"10.1037/t82099-000","generalized self-efficacy scale--twi version","Generalized Self-Efficacy Scale",12,0,"exact",TRUE,FALSE,FALSE
"10.1037/t82462-000","telehealth usability questionnaire--adapted version","Telehealth Usability Questionnaire (TUQ)",22,1,"exact",TRUE,FALSE,FALSE
"10.1037/t82606-000","religious coping scale","Brief Religious Coping (RCOPE)",14,59,"core",FALSE,FALSE,FALSE
"10.1037/t84319-000","parent risk and impact screening measure","Parent Risk and Impact Screening Measure (PRISM)",13,2,"exact",FALSE,FALSE,FALSE
